"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"7";"";"LEDSML1206";"SML1206";"LED1, LED2, LED3, LED4, LED5, LED6, LED7";"LED";"";"";"";"";
"1";"";"MA08-1";"MA08-1";"PINOUT";"PIN HEADER";"";"";"unknown";"unknown";
"4";"";"MC7805BDTRKG";"DPACK_3";"IC1, IC2, IC3, IC4";"1A Positive Voltage Regulators";"";"";"";"";
"2";"";"NTD5867NLT4G";"DPACK";"MOS1, MOS2";"MOS FET";"";"";"";"";
"2";"";"PINHD-1X2";"1X02";"AMP_1_2, AMP_2_2";"PIN HEADER";"";"";"";"";
"6";"";"PINHD-1X3";"1X03";"A_1, A_2, A_3, POWER_LED, X2, X3";"PIN HEADER";"";"";"";"";
"2";"";"PINHD-1X5";"1X05";"SD_1, SD_2";"PIN HEADER";"";"";"";"";
"2";"";"PINHD-1X7";"1X07";"AMP_1_1, AMP_2_1";"PIN HEADER";"";"";"";"";
"1";"";"PINHD-2X5";"2X05";"TAB_CONN";"PIN HEADER";"";"";"";"";
"1";"";"W237-04P";"W237-4P";"POWER";"WAGO SREW CLAMP";"";"";"unknown";"unknown";
"3";"10";"R-US_R0603";"R0603";"R4, R6, R15";"RESISTOR, American symbol";"";"";"";"";
"4";"100nF";"C-USC0603";"C0603";"C4, C5, C7, C12";"CAPACITOR, American symbol";"";"";"";"";
"2";"1K";"R-US_R0603";"R0603";"R11, R13";"RESISTOR, American symbol";"";"";"";"";
"4";"1X2-3.5MM";"1X2-3.5MM";"1X2-3.5MM";"PWM1, PWM2, SPK-1, SPK-2";"3.5mm Terminal block";"";"";"";"";
"4";"1uF";"C-USC0603";"C0603";"C2, C3, C6, C11";"CAPACITOR, American symbol";"";"";"";"";
"2";"2.2k";"R-US_R0603";"R0603";"R7, R8";"RESISTOR, American symbol";"";"";"";"";
"1";"2000uF";"CPOL-USE5-10.5";"E5-10,5";"C1";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"2";"4.7K";"R-US_R0603";"R0603";"R10, R12";"RESISTOR, American symbol";"";"";"";"";
"7";"470";"R-US_R0603";"R0603";"R1, R2, R3, R5, R14, R17, R18";"RESISTOR, American symbol";"";"";"";"";
"3";"470uF";"CPOL-USE5-10.5";"E5-10,5";"C8, C9, C13";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"1";"AUDIO BOARD";"TEENSY_3.1_ALL_PINS_AND_PADS";"TEENSY_3.1_ALLPINS";"TEENSY";"Footprint for Teensy 3.1 board using all pads and all through-holes. Pads need a 2x7 0.1" SMD header.";"";"";"";"";
"1";"RJ45-6L-B";"RJ45-6L-B";"RJ45-NO-SHIELD";"JACK";"CORCOM Modular RJ Jacks No Shield";"";"RJ45-6L-B";"unknown";"16R6090";
"1";"SB540E-G";"SB540E-G";"DO201T15";"D1";"SCHOTTKY BARRIER RECTIFIER 3.0 AMPERES 20, 30, 40 VOLT";"";"";"";"";
